Angler ID,Primary Regional Monitoring Group,Secondary Regional Monitoring Group,Do Not Contact,# Volunteer Days 2007,Dates Fished 2007,2007 Total (+/-) Fishing Time (days),# Volunteer Days 2008,Dates Fished 2008,2008 Total (+/-) Fishing Time (days),# Volunteer Days 2009,Dates Fished 2009,2009 Total (+/-) Fishing Time (days),# Volunteer Days 2010,Dates Fished 2010,2010 Total (+/-) Fishing Time,# Volunteer Days 2011,Dates Fished 2011,2011 Total (+/-) Fishing Time,# Volunteer Days 2012,Dates Fished 2012,2012 Total (+/-) Fishing Time,# Volunteer Days 2013,Dates Fished 2013,2013 Total (+/-) Fishing Time,# Volunteer Days 2014,Dates Fished 2014,2014 Total (+/-) Fishing Time,# Volunteer Days 2015,Dates Fished 2015,2015 Total (+/-) Fishing Time,# Volunteer Days 2016,Dates Fished 2016,2016 Total(+/-) Fishing Time,# Volunteer Days 2017,Dates Fished 2017,2017 Total (+/-) Fishing Time (mins),# Volunteer Days 2018,Dates Fished 2018,2018 Total (+/-) Fishing Time (mins),# Volunteer Days 2019,Dates Fished 2019,2019 Total (+/-) Fishing Time (mins),# of Volunteer Days 2020,Dates Fished 2020,2020 Total (+/-) Fishing Time (mins),# Volunteer Days 2021,Dates Fished 2021,2021 Total (+/-) Fishing Time (mins)
A010,MLML,,FALSE,1,August(6),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A011,MLML,,FALSE,1,August(6),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A012,MLML,,FALSE,1,August(6),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A013,MLML,,TRUE,12,"August(6,7,8,9,20,21,23), September(27), October(22,23,24,25)",-11.5,0,,,1,August (13),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A014,MLML,,FALSE,3,"August(7), October(23,25)",0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A015,CPOLY,,FALSE,6,"August(7, 21, 22), September (19), October(23, 24)",0,8,"July(15,16,22,23), August(12,13), September(2,3)",-3.023999929,8,"July(29, 30), August (3, 6, 25, 26), September (1, 2)",-2,8,"July (20,21), August (2,3,23,24), September (7,8)",0,8,"July (19,20), August (2,3,23,24), September (6,7)",0,8,"July (16,17, 30, 31), August (20, 21), September (4, 5)",-16.66666603,7,"July(15, 16, 30), August(19, 20), September(3, 4)",0,8,"July (21) August (4, 5, 13,18,19(, September (2,3",,,,,8,"July (18,19) August (1, 2, 15, 17) September (6, 7,",,8,"July (17, 18, 31), August (1, 14, 16), September (5, 7)",,,,,5,";September(5,16) August(2, 5, 29)",0,3,"July (14, 28), September (1)",,3,"July (13), August (30, 31)",
A016,CPOLY,,FALSE,1,August(7),0,0,,,0,,,0,,,0,,,0,,,0,,,1,September (2),,,,,,,,1,August (16),,,,,1,;August (5),0,,,,,,
A017,MLML,,TRUE,1,August(7),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A018,MLML,,FALSE,2,"August(8,24)",-4.000000477,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A019,MLML,,FALSE,2,"August(8,24)",0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A020,MLML,,FALSE,0,,-2.000000238,0,,-9.5,0,,-7.499999523,3,"August (11,12,18)",-14,2,"August (8, 9)",-7.999999046,1,September (6),0,2,"July(15,16)",,,,,,,,,,,,,,,,,0,,0,1,September (3),0,,,
A021,MLML,,TRUE,1,August(9),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A022,MLML,,FALSE,1,August(9),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A023,MLML,,TRUE,1,August(9),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A024,MLML,,TRUE,1,August(9),-2.000000238,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A025,MLML,,FALSE,4,"August(9), September(25,26,27)",-0.999999344,7,"July(29, 30), August(26,27,28), September(17,19)",0,6,"July (21,23), August (10, 11,12, 13)",-6.000000477,6,"August (9,10,11,12), September (2,3)",-0.999999344,7,"August (8, 9, 10, 11), September (19, 20, 21)",-48.5,5,"August (6, 7, 8, 9) September (28)",-0.999999344,3,"August (20), September (16, 17)",-2.999999523,6,"August (19, 20), September (10, 11, 17, 18)",-5,,,,,,,2,"August (1, 2)",-3,2,"August (8, 9)",-1,2,";August (13, 14)",0,,,,,,
A026,MLML,,FALSE,1,August(20),-6.000000477,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A027,MLML,,FALSE,1,August(20),0,1,July(15),0,0,,,0,,,0,,,0,,,2,"August (13, 15)",-0.999999344,,,,1,August (4),0,,,,1,August (8),-4.5,,,,0,,0,,,,,,
A028,MLML,,FALSE,6,"August(20,21,23,24), September(17,18)",-10.50000095,7,"July(14,16), August(11,13,25), September (22, 24)",-3.500000715,5,"July (27, 30), Aug (20) September (14, 16)",-11,4,"August (17,20), September (14,16)",0,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A029,MLML,,FALSE,5,"August(20,21), September(17,18), October(8)",-11.5,7,"July(14,16), August(11,13,25), September (22, 24)",-4.000000477,6,"July (27, 30), August (17, 20), September (14, 16)",-9.999999046,4,"August (17,20), September (14,16)",-6.000000477,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A030,MLML,,FALSE,2,"August(20,23)",-6.000000477,0,,,0,,,0,,,1,August (15),-4.000000477,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A031,MLML,,FALSE,2,"August(20,23)",-10.50000095,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A032,MLML,,FALSE,3,"August(20,21), September(17)",-12.50000095,3,"July (16), August(13), September (23)",-7.499999523,2,"July (30), August (19)",-0.99999994,0,,,1,,,0,August (17),,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A033,MLML,,TRUE,1,August(20),-2.999999523,1,September (19),-0.99999994,1,September (15),-9,1,September (3),0,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A034,MLML,,FALSE,1,August(20),-2.999999523,1,September (19),0,1,September (15),0,1,September (3),0,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A035,MLML,,TRUE,1,August(21),-2.000000238,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A036,MLML,,FALSE,1,August(21),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A037,MLML,,FALSE,3,"August(21,24), September(17)",-6.000000477,6,"July(15,17), August(12,14), September (22, 25)",-4.999999523,4,"July (27, 30) August (17, 20)",-4.000000477,4,"August (17,20), September (14,16)",-2.999999523,4,"August (16, 18), September (13, 15)",-2.999999523,4,"August (15, 17), September (5, 7)",-1.500000477,4,"August (12, 15), September (23, 27)",-15.5,4,"August (4, 6), September (2, 4)",0,2,"August (4, 6)",-3,4,"Aug-16,Aug-18,Sept-27,Sept-29",-1,7,"July (17, 29, 27), August (8,10), September (11, 13)",-10.5,4,"July (26), August (14, 16, 21)",-2.25,2,;August (7) September (11),0,,,,2,"July (27, August (23)",-1
A038,MLML,,TRUE,1,August(21),0,1,September (23),0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A039,MLML,,FALSE,1,August(21),-7.499999523,1,September (23),0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A040,MLML,,FALSE,1,August(21),-2.000000238,2,"July (16), September (24)",-5.499999523,2,"August (19), September (15)",-0.99999994,0,,,1,August (17),-2.000000238,1,August (15),0,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A041,MLML,,FALSE,1,August(21),-2.000000238,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A042,MLML,,FALSE,1,August(21),-9.999999046,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A043,MLML,,FALSE,1,August(21),-2.999999523,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A044,MLML,,TRUE,1,August(23),-7.499999523,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A045,MLML,,TRUE,1,August(23),-0.999999344,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A046,MLML,,FALSE,1,August(23),-2.000000238,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A047,MLML,,FALSE,1,August(23),-4.5,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A048,MLML,,FALSE,1,August(23),-2.000000238,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A049,MLML,,FALSE,1,August(23),-4.5,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A050,MLML,,TRUE,1,August(23),-2.000000238,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A051,MLML,,FALSE,1,August(23),-0.999999344,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A052,MLML,,FALSE,3,"August(24), September(25), October(23)",-9.25,4,"July(28, 31), August(11), September(18)",-4.999999523,0,,,1,September (2),0,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A053,MLML,,FALSE,3,"August(24), September(25), October(23)",-6.5,3,"July (31), August(11) September(18)",-2.499999762,0,,,1,September (2),-0.999999344,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A054,MLML,,FALSE,3,"August(24), September(17), October(08)",-2.999999523,1,June (24),0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A055,MLML,,FALSE,2,"August(24), September(17)",0,0,,,8,"July(28, 29, 30), August (17, 18, 19, 20), September (16)",-7,8,"August (9,11,18,20), September (1,3,13,14)",-2.000000238,5,"August (15, 16, 17), September (13, 15)",-9,5,"August (6, 7), September (4, 5, 7)",-19,2,"September (23, 28)",-2.000000238,3,"August (19), September (3, 4)",-13.5,,,,4,"Aug-8,Sept9, Sept-27,28",-6.5,,,,4,"July (24, 25), August (28), September (24)",-5.5,2,;August (6) September (17),0,1,September (1),-4,,,
A056,MLML,,FALSE,3,"August(24), September(18, 20)",-2.000000238,0,,,0,,,1,September (15),0,0,,,0,,,1,August (14),-6.000000477,,,,,,,,,,,,,,,,0,,0,,,,,,
A057,MLML,,FALSE,3,"August(24), September(24), October(25)",-2.999999523,5,"July (16, 28), August(25), September(17, 25)",-7,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A058,MLML,,FALSE,3,"August(24), September(24), October(25)",-4.999999523,5,"July(16, 28), August(25), September(17, 25)",-2.999999523,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A059,MLML,,TRUE,1,August(24),-5.420000076,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A060,MLML,,FALSE,1,August(24),-23.04999924,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A061,MLML,,TRUE,1,August(24),-0.999999344,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A062,MLML,,FALSE,2,"August(24), September(20)",0,0,,,0,,,1,September (15),0,1,September (15),0,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A063,MLML,,FALSE,1,August(24),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A064,MLML,,FALSE,1,August(24),0,1,September (25),0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A065,MLML,,TRUE,1,September(24),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A066,MLML,,FALSE,1,September(24),-6.000000477,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A067,MLML,,FALSE,3,"September(24), October(22, 25)",-7,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,1,July (26),-1,1,August (27),-2.5,0,,0,,,,,,
A068,MLML,,FALSE,3,"September(24), October(8,22)",-2.000000238,2,"July(14), September (22)",0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A069,MLML,,TRUE,1,September(24),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A070,MLML,,FALSE,1,September(24),0,0,,,0,,,0,,,0,,,1,September (28),0,1,August (27),0,4,"August (19, 20, 27), September (10)",-3,,,,1,7-Sep,0,,,,,,,0,,0,,,,,,
A071,MLML,,TRUE,1,September(24),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A072,MLML,,FALSE,3,"September(24, 26), October(25)",-1.500000477,1,September(18),0,1,July (20),0,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A073,MLML,,FALSE,1,September(25),-2.000000238,3,"July(29), August(26), September(18)",0,2,"July (22), August (13)",0,2,"August(9), September (1)",-4.000000477,3,"August (8), September (19, 21)",-4.999999523,4,"August (6, 8, 23), September (19)",-3.500000715,4,"August (20, 27), September (9, 10)",-2.999999523,5,"August (19, 28), September (11, 18)",-7,1,August (11),-1,1,"Aug-11, Sept-6",-1.5,2,"August (2), September (20)",-8.5,2,"August (9), September (7)",-2.5,1,;August (13),-6,,,,,,
A074,MLML,,FALSE,1,September(25),-2.999999523,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A075,MLML,,TRUE,1,September(25),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A076,MLML,,TRUE,1,September(26),-0.999999344,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A077,MLML,,FALSE,2,"September(26, 27)",-2.499999762,0,,,0,,,0,,,2,"September (20, 22)",-0.999999344,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A078,MLML,,FALSE,2,"September(26, 27)",-4.5,0,,,0,,,0,,,2,"September (20, 22)",-0.999999344,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A079,MLML,,FALSE,1,September(26),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A080,MLML,,FALSE,2,"September(26), October(24)",-2.999999523,1,September(17),0,0,,,1,September (2),-2.999999523,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A081,MLML,,FALSE,1,September(27),-2.499999762,0,,,0,,,0,,,0,,,2,"August (7), September (20)",-0.999999344,1,September (17),0,2,"August (28), September (11)",-1.5,,,,,,,1,September (13),0,,,,0,,0,,,,,,
A082,MLML,,FALSE,1,September(27),0,3,"July(30), August(27), September(17)",0,0,,,0,,,1,September (22),-0.999999344,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A083,MLML,,FALSE,1,September(27),-2.000000238,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A084,MLML,,FALSE,1,September(27),-3.500000715,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A085,MLML,,FALSE,1,October(22),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A086,MLML,,FALSE,1,October(22),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A087,MLML,,FALSE,1,October(22),0,0,,,0,,,0,,,1,August (11),0,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A088,MLML,,TRUE,1,October(22),-2.000000238,0,,,0,,,0,,,1,August (11),0.999999344,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A089,MLML,,FALSE,1,October(23),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A090,MLML,,FALSE,1,October(23),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
A091,MLML,,TRUE,1,October(23),-0.999999344,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A092,MLML,,FALSE,1,October(23),-2.000000238,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A093,MLML,,FALSE,1,October(24),-2.000000238,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A094,MLML,,TRUE,2,"October(24, 25)",-1.250000596,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A095,MLML,,FALSE,2,"October(24, 25)",0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A096,MLML,,FALSE,1,October(25),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A097,MLML,,FALSE,4,"October(11, 12, 24, 25)",0,0,,,0,,,1,August (18),0,0,,,0,,,0,,,,,,1,August (11),-2,1,29-Sep,-2,,,,1,August (27),-1,0,,0,,,,,,
A098,MLML,,FALSE,3,"September(18), October(11,25)",-2.999999523,4,"July(14), August(14), September (22,25)",-2.999999523,0,,,0,,,1,August (18),0,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A099,MLML,,FALSE,1,September(18),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A100,MLML,,FALSE,1,September(18),-7,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A101,MLML,,FALSE,1,September(20),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A102,MLML,,FALSE,1,September(20),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A103,MLML,,FALSE,2,"September(20), October(12)",0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A104,MLML,,TRUE,1,October(8),-2.000000238,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A105,MLML,,TRUE,1,October(8),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A106,MLML,,TRUE,1,October(9),-0.999999344,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A107,MLML,,FALSE,1,October(9),-2.000000238,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A108,MLML,,TRUE,1,October(9),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A109,MLML,,FALSE,1,October(9),-0.999999344,2,"August(12), September (23)",0,1,July (30),0,0,,,1,August (16),0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
A110,MLML,,FALSE,1,October(11),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A111,MLML,,FALSE,1,October(11),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A112,MLML,,FALSE,1,October(11),0,0,,,1,August (20),-4.000000477,1,August (19),-2.999999523,0,,,1,August (16),-4.000000477,0,,,,,,,,,,,,1,September (29),,,,,0,,0,,,,,,
A113,MLML,,TRUE,1,October(11),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A114,MLML,,TRUE,1,October(11),0,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A115,MLML,,FALSE,2,"August (21), September (18)",-1.440000057,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A116,MLML,,FALSE,1,August (21),0,2,"July(22), August(12)",-6.047999859,0,,,0,,-2.000000238,1,August (30),,0,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,
A117,MLML,,FALSE,6,"August (21, 22), September(18, 19), October (23, 24)",-3.023999929,10,"July(15,16,22,23), August(12,13,19,20), September(16,17)",-5.784480095,7,"July(29, 30), August (3, 25, 26), September (1, 2)",-4.999999523,11,"July (14,15,20,21), August (2,3,23,24), September (7,8)",-2.000000238,11,"July (19,20,27,28), August (2,3,23,24,30), September (6,7)",,8,"July (16,17, 30, 31), August (20, 21), September (4,5)",-14.66666603,8,"July (15, 16, 30), August (1, 19, 20), September (3, 4)",-2.000000238,,,,,,-1,,,,,,,,,,0,,0,,,,,,
A118,MLML,,FALSE,6,"August (21, 22), September(18, 19), October (23, 24)",-2.016000032,6,"July(16,22), August(12,20), September(16,17)",-3.081599951,7,"July(29, 30), August (3, 25, 26), September (1, 2)",-2.999999523,11,"July (14,15,20,21), August (2,3,23,24), September (7,8)",-4.000000477,11,"July (19,20,27,28), August (2,3,23,24,30), September (6,7)",,7,"July (16,17, 30, 31), August (20, 21), September (5)",-15.66666603,7,"July (16, 30), August (1, 19, 20), September (3, 4)",-9.999999046,,,,,,-4,,,,,,,,,,0,,0,,,,,,
